id,label,timeset,entity_type,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,eigencentrality,clustering
awmc_unc,awmc_unc,,user,2,0,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6,0,310,0.03502548233460915,1.0
awol_tweets,awol_tweets,,user,0,5,5,0.0,10.0,10.0,6.0,0.31331058020477814,0.3335511982570805,0.0,6,0,399,0.0,0.3499999940395355
barhopbar,barhopbar,,user,3,0,3,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6,0,274,0.01162061875978594,0.1666666716337204
baronatrix,baronatrix,,user,0,3,3,0.0,4.0,4.0,1.0,1.0,1.0,0.0,6,0,400,0.0,0.0
bastet54,bastet54,,user,0,3,3,0.0,4.0,4.0,5.0,0.37317073170731707,0.39854756717501927,0.0,9,0,401,0.0,0.6666666865348816
bcpublishers,bcpublishers,,user,7,11,18,13.0,24.0,37.0,6.0,0.3273766976411723,0.3554585152838433,1658.8286188274803,9,0,311,0.02559673384608432,0.10784313827753067
beldonstevens,beldonstevens,,user,12,28,40,17.0,80.0,97.0,5.0,0.4167424931756142,0.4586608442503655,6650.999833878953,7,0,311,0.04551793699112049,0.1501501500606537
belisig,belisig,,user,0,2,2,0.0,2.0,2.0,6.0,0.2828096118299446,0.29811183732752317,0.0,9,0,402,0.0,0.5
benmcleish,benmcleish,,user,0,4,4,0.0,6.0,6.0,6.0,0.31055480378890393,0.3297385620915031,0.0,6,0,403,0.0,0.5833333134651184
biblioteq_tress,biblioteq_tress,,user,0,2,2,0.0,2.0,2.0,6.0,0.30997304582210244,0.32728260869565207,0.0,5,0,405,0.0,0.0
bigancie,bigancie,,user,3,0,3,4.0,0.0,4.0,0.0,0.0,0.0,0.0,9,0,277,0.033158571719985666,0.6666666865348816
bioarchitalia,bioarchitalia,,user,0,10,10,0.0,20.0,20.0,6.0,0.2797074954296161,0.3062454611474218,0.0,2,0,406,0.0,0.17777778208255768
bioarcholivia,bioarcholivia,,user,3,18,21,5.0,86.0,91.0,5.0,0.3751023751023751,0.41211790393013253,2362.5127453811765,19,0,311,0.02199347884824246,0.18421052396297455
bitfield,bitfield,,user,0,5,5,0.0,14.0,14.0,6.0,0.29689521345407505,0.31350762527233067,0.0,9,0,407,0.0,0.25
bittydiana,bittydiana,,user,0,4,4,0.0,10.0,10.0,8.0,0.1785021342646488,0.18912008281573586,0.0,7,0,409,0.0,0.1666666716337204
bloodbrothersto,bloodbrothersto,,user,2,0,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,9,0,273,0.010856746630716679,0.5
bloomsburyclass,bloomsburyclass,,user,4,2,6,6.0,2.0,8.0,6.0,0.3128415300546448,0.33107714701601143,923.7608626308855,2,0,311,0.011514331606246871,0.20000000298023224
bob_darrah,bob_darrah,,user,0,7,7,0.0,10.0,10.0,5.0,0.3569206842923795,0.38427741466957277,0.0,9,0,410,0.0,0.2857142984867096
bobsbeenhere,bobsbeenhere,,user,0,2,2,0.0,2.0,2.0,7.0,0.21569548872180452,0.22550057059861106,0.0,20,0,411,0.0,0.5
bolin67,bolin67,,user,6,8,14,12.0,14.0,26.0,6.0,0.32162921348314605,0.3461426491994179,299.14954503582317,7,0,311,0.03438895841487185,0.2527472674846649
bones_canada,bones_canada,,user,0,4,4,0.0,6.0,6.0,5.0,0.3715670436187399,0.3971376811594213,0.0,5,0,412,0.0,0.25
bookmobility,bookmobility,,user,0,2,2,0.0,2.0,2.0,6.0,0.2728894173602854,0.28740014524328233,0.0,9,0,413,0.0,0.5
brettmrog,brettmrog,,user,13,0,13,18.0,0.0,18.0,0.0,0.0,0.0,0.0,7,0,263,0.08813807788287238,0.21153846383094788
brettmrogers,brettmrogers,,user,6,0,6,12.0,0.0,12.0,0.0,0.0,0.0,0.0,7,0,262,0.0467067904207161,0.5
brewclassical,brewclassical,,user,0,3,3,0.0,4.0,4.0,7.0,0.2262666010821446,0.23979296066252687,0.0,19,0,415,0.0,0.1666666716337204
bridgetalmas,bridgetalmas,,user,16,4,20,84.0,18.0,102.0,5.0,0.3800829875518672,0.40553129548762856,1535.658494925971,9,0,311,0.10759452233902717,0.31578946113586426
bristol_clah,bristol_clah,,user,0,2,2,0.0,2.0,2.0,7.0,0.24545454545454545,0.2577912646540101,0.0,4,0,416,0.0,0.5
brittanyh753,brittanyh753,,user,0,10,10,0.0,18.0,18.0,5.0,0.3522640061396777,0.38053740014524445,0.0,19,0,417,0.0,0.23333333432674408
brockhumanities,brockhumanities,,user,0,4,4,0.0,8.0,8.0,6.0,0.33430444282592864,0.3543936092955703,0.0,7,0,418,0.0,0.1666666716337204
brockuclassics,brockuclassics,,user,7,2,9,18.0,2.0,20.0,1.0,1.0,1.0,0.0,7,0,289,0.021447990150671906,0.25
bryanwhitchurch,bryanwhitchurch,,user,0,3,3,0.0,4.0,4.0,6.0,0.3335755813953488,0.35257806826434307,0.0,7,0,419,0.0,0.3333333432674408
bsalille3,bsalille3,,user,0,6,6,0.0,10.0,10.0,7.0,0.2609437180216032,0.27841581076875205,0.0,6,0,420,0.0,0.30000001192092896
bswbarootes,bswbarootes,,user,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9,0,269,0.006724823424987342,0.0
bwood___4,bwood___4,,user,0,2,2,0.0,2.0,2.0,7.0,0.22184630256162396,0.23166822284469452,0.0,16,0,421,0.0,0.5
c_katsari,c_katsari,,user,3,0,3,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2,0,388,0.0024667433324081687,0.3333333432674408
c_perry,c_perry,,user,3,3,6,4.0,4.0,8.0,5.0,0.34749620637329287,0.36972343522561973,525.3413347585548,19,0,311,0.027683343359927996,0.5333333611488342
